week,tr,p,a
1,123.1,1.92,12.4
2,124.3,2.15,9.9
3,89.3,1.67,2.4
4,141.3,1.68,13.8
5,112.8,1.75,3.5
6,108.1,1.55,1.8
7,143.9,1.54,17.8
8,124.2,2.1,9.8
9,110.1,2.44,8.3
10,111.7,2.47,9.8
11,123.8,1.86,12.6
12,123.5,1.93,11.5
13,110.2,2.47,7.4
14,100.9,2.11,6.1
15,123.3,2.1,9.5
16,115.7,1.73,8.8
17,116.6,1.86,4.9
18,153.5,2.19,18.8
19,149.2,1.9,18.9
20,89,1.67,2.3
21,132.6,2.43,14.1
22,97.5,2.13,2.9
23,106.1,2.33,5.9
24,115.3,1.75,7.6
25,98.5,2.05,5.3
26,135.1,2.35,16.8
27,124.2,2.12,8.8
28,98.4,2.13,3.2
29,114.8,1.89,5.4
30,142.5,1.5,17.3
31,122.6,1.93,11.2
32,127.7,2.27,11.2
33,113,1.66,7.9
34,144.2,1.73,17
35,109.2,1.59,3.3
36,106.8,2.29,7.1
37,145,1.86,15.3
38,124,1.91,12.7
39,106.7,2.34,6.1
40,153.2,2.13,19.6
41,120.1,2.05,6.3
42,119.3,1.89,9
43,150.6,2.12,18.7
44,92.2,1.87,2.2
45,130.5,2.09,16
46,112.5,1.76,4.5
47,111.8,1.77,4.3
48,120.1,1.94,9.3
49,107.4,2.37,8.3
50,128.6,2.1,15.4
51,124.6,2.29,9.2
52,127.2,2.36,10.2
53,129.9,2.87,16
54,101.5,2.05,4
55,136.3,2.55,19.6
56,97.6,3.49,10.2
57,118.9,3.45,17.5
58,130.5,3.45,18.3
59,128.5,2.58,18.2
60,138.3,2.87,22.1
61,103.6,1.76,4.1
62,151.8,2.97,24.9
63,128.5,2.77,14.7
64,128.5,2.64,18.6
65,143.7,1.5,20.9
66,108.6,1.61,4.8
67,158.8,2.66,27.7
68,147.2,1.74,20.6
69,146.3,3.21,25.4
70,121.2,1.5,10.2
71,107,1.78,4.9
72,121.2,2.43,12.1
73,125.4,2.04,12.3
74,141.9,2.99,19.7
75,120,2.83,14.3
76,101.9,2.47,4.8
77,130.4,2.04,11.6
78,139.9,1.87,19.8
