"","A","female","tech"
"1",1,0,0
"2",1,0,0
"3",1,0,0
"4",1,0,0
"5",1,0,1
"6",1,0,1
"7",1,0,1
"8",1,0,1
"9",1,0,1
"10",1,0,1
"11",1,1,0
"12",1,1,0
"13",1,1,0
"14",1,1,0
"15",1,1,0
"16",1,1,0
"17",1,1,1
"18",1,1,1
"19",1,1,1
"20",1,1,1
"21",1,1,1
"22",1,1,1
"23",0,0,0
"24",0,0,0
"25",0,0,0
"26",0,0,0
"27",0,0,0
"28",0,0,0
"29",0,0,0
"30",0,0,0
"31",0,0,0
"32",0,0,0
"33",0,0,1
"34",0,0,1
"35",0,0,1
"36",0,0,1
"37",0,0,1
"38",0,0,1
"39",0,0,1
"40",0,0,1
"41",0,0,1
"42",0,0,1
"43",0,0,1
"44",0,1,0
"45",0,1,0
"46",0,1,0
"47",0,1,0
"48",0,1,0
"49",0,1,0
"50",0,1,0
"51",0,1,0
"52",0,1,0
"53",0,1,0
"54",0,1,0
"55",0,1,0
"56",0,1,0
"57",0,1,0
"58",0,1,0
"59",0,1,0
"60",0,1,0
"61",0,1,0
"62",0,1,0
"63",0,1,0
"64",0,1,0
"65",0,1,1
"66",0,1,1
"67",0,1,1
"68",0,1,1
"69",0,1,1
"70",0,1,1
"71",0,1,1
"72",0,1,1
"73",0,1,1
"74",0,1,1
"75",0,1,1
"76",0,1,1
"77",0,1,1
"78",0,1,1
"79",0,1,1
"80",0,1,1
"81",0,1,1
"82",0,1,1
"83",0,1,1
"84",0,1,1
"85",0,1,1
"86",0,0,0
"87",0,0,0
"88",0,0,0
"89",0,0,0
"90",0,0,1
"91",0,0,1
"92",0,0,1
"93",0,1,0
"94",0,1,0
"95",0,1,0
"96",0,1,0
"97",0,1,1
"98",0,1,0
"99",0,1,0
